latency,area,power,energy,DSE index,layers,"HW (tiles, bw)",restraint
10389554.28870761,441347514.1464557,260.69178038825265,14392878.932013735,22,4,5 8,pass
13380960.322828662,531418435.4008343,315.8614831243793,30937852.087351616,23,6,6 48,fail
13384951.959192296,531418435.4008343,315.8614831243793,30937852.087351616,24,6,6 44,fail
13389741.922828658,531418435.4008343,315.8614831243793,30937852.087351616,25,6,6 40,fail
13395596.322828662,531418435.4008343,315.8614831243793,30937852.087351616,26,6,6 36,fail
13402914.322828662,531418435.4008343,315.8614831243793,30937852.087351616,27,6,6 32,fail
13412323.179971518,531418435.4008343,315.8614831243793,30937852.087351616,28,6,6 28,fail
13424868.322828662,531418435.4008343,315.8614831243793,30937852.087351616,29,6,6 24,fail
13442431.52282866,531418435.4008343,315.8614831243793,30937852.087351616,30,6,6 20,fail
13468776.322828662,531418435.4008343,315.8614831243793,30937852.087351616,31,6,6 16,fail
13512684.322828662,531418435.4008343,315.8614831243793,30937852.087351616,32,6,6 12,fail
13600500.322828662,531418435.4008343,315.8614831243793,30937852.087351616,33,6,6 8,fail
13380960.322828662,531418435.4008343,315.8614831243793,30937852.087351616,34,6,7 48,fail
13384951.959192296,531418435.4008343,315.8614831243793,30937852.087351616,35,6,7 44,fail
13389741.922828658,531418435.4008343,315.8614831243793,30937852.087351616,36,6,7 40,fail
13395596.322828662,531418435.4008343,315.8614831243793,30937852.087351616,37,6,7 36,fail
13402914.322828662,531418435.4008343,315.8614831243793,30937852.087351616,38,6,7 32,fail
13412323.179971518,531418435.4008343,315.8614831243793,30937852.087351616,39,6,7 28,fail
13424868.322828662,531418435.4008343,315.8614831243793,30937852.087351616,40,6,7 24,fail
13442431.52282866,531418435.4008343,315.8614831243793,30937852.087351616,41,6,7 20,fail
13468776.322828662,531418435.4008343,315.8614831243793,30937852.087351616,42,6,7 16,fail
13512684.322828662,531418435.4008343,315.8614831243793,30937852.087351616,43,6,7 12,fail
13600500.322828662,531418435.4008343,315.8614831243793,30937852.087351616,44,6,7 8,fail
13380960.322828662,531418435.4008343,315.8614831243793,30937852.087351616,45,6,8 48,fail
13384951.959192296,531418435.4008343,315.8614831243793,30937852.087351616,46,6,8 44,fail
13389741.922828658,531418435.4008343,315.8614831243793,30937852.087351616,47,6,8 40,fail
13395596.322828662,531418435.4008343,315.8614831243793,30937852.087351616,48,6,8 36,fail
13402914.322828662,531418435.4008343,315.8614831243793,30937852.087351616,49,6,8 32,fail
13412323.179971518,531418435.4008343,315.8614831243793,30937852.087351616,50,6,8 28,fail
13424868.322828662,531418435.4008343,315.8614831243793,30937852.087351616,51,6,8 24,fail
13442431.52282866,531418435.4008343,315.8614831243793,30937852.087351616,52,6,8 20,fail
13468776.322828662,531418435.4008343,315.8614831243793,30937852.087351616,53,6,8 16,fail
13512684.322828662,531418435.4008343,315.8614831243793,30937852.087351616,54,6,8 12,fail
13600500.322828662,531418435.4008343,315.8614831243793,30937852.087351616,55,6,8 8,fail
13390944.322828662,1396099279.44287,845.7139665629023,31893259.970725745,56,6,9 48,fail
13395843.595555931,1396099279.44287,845.7139665629023,31893259.970725745,57,6,9 44,fail
13401722.722828658,1396099279.44287,845.7139665629023,31893259.970725745,58,6,9 40,fail
13408908.322828662,1396099279.44287,845.7139665629023,31893259.970725745,59,6,9 36,fail
13417890.322828662,1396099279.44287,845.7139665629023,31893259.970725745,60,6,9 32,fail
13429438.608542947,1396099279.44287,845.7139665629023,31893259.970725745,61,6,9 28,fail
13444836.322828662,1396099279.44287,845.7139665629023,31893259.970725745,62,6,9 24,fail
13466393.12282866,1396099279.44287,845.7139665629023,31893259.970725745,63,6,9 20,fail
13498728.322828662,1396099279.44287,845.7139665629023,31893259.970725745,64,6,9 16,fail
13552620.322828662,1396099279.44287,845.7139665629023,31893259.970725745,65,6,9 12,fail
13660404.322828662,1396099279.44287,845.7139665629023,31893259.970725745,66,6,9 8,fail
13408191.796302391,1684326227.4568818,1022.33146104241,32211729.26518379,67,7,10 48,fail
13413509.978120573,1684326227.4568818,1022.33146104241,32211729.26518379,68,7,10 44,fail
13419891.796302387,1684326227.4568818,1022.33146104241,32211729.26518379,69,7,10 40,fail
13427691.796302391,1684326227.4568818,1022.33146104241,32211729.26518379,70,7,10 36,fail
13437441.796302391,1684326227.4568818,1022.33146104241,32211729.26518379,71,7,10 32,fail
13449977.510588104,1684326227.4568818,1022.33146104241,32211729.26518379,72,7,10 28,fail
