DSE index,layers,latency,area,power,energy,"HW (t_rol,t col,  tile_bw)",restraint
50,12,14330782.97459555,566322156.2601291,131.83860073966628,4874963.036074808,7 7 9,pass
51,12,14513566.97459555,566322156.2601291,131.83860073966628,4874963.036074808,7 7 8,pass
52,12,14748574.974595556,566322156.2601291,131.83860073966628,4874963.036074808,7 7 7,pass
53,12,15061918.97459555,566322156.2601291,131.83860073966628,4874963.036074808,7 7 6,pass
54,12,15500600.57459556,566322156.2601291,131.83860073966628,4874963.036074808,7 7 5,pass
55,12,16158622.97459555,566322156.2601291,131.83860073966628,4874963.036074808,7 7 4,pass
56,12,17255326.97459555,566322156.2601291,131.83860073966628,4874963.036074808,7 7 3,pass
57,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,7 9 10,fail
58,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 9 9,fail
59,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 9 8,fail
60,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,7 9 7,fail
61,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 9 6,fail
62,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,7 9 5,fail
63,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 9 4,fail
64,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,7 9 3,fail
65,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,7 11 10,fail
66,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 11 9,fail
67,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 11 8,fail
68,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,7 11 7,fail
69,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 11 6,fail
70,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,7 11 5,fail
71,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 11 4,fail
72,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,7 11 3,fail
73,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,7 13 10,fail
74,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 13 9,fail
75,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 13 8,fail
76,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,7 13 7,fail
77,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 13 6,fail
78,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,7 13 5,fail
79,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,7 13 4,fail
80,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,7 13 3,fail
81,11,14058878.781378964,473482458.5125669,107.50458363948876,4725401.732480571,9 5 10,pass
82,11,14196913.981378969,473482458.5125669,107.50458363948876,4725401.732480571,9 5 9,pass
83,11,14369457.981378969,473482458.5125669,107.50458363948876,4725401.732480571,9 5 8,pass
84,11,14591300.26709326,473482458.5125669,107.50458363948876,4725401.732480571,9 5 7,pass
85,11,14887089.981378969,473482458.5125669,107.50458363948876,4725401.732480571,9 5 6,pass
86,11,15301195.581378978,473482458.5125669,107.50458363948876,4725401.732480571,9 5 5,pass
87,11,15922353.981378969,473482458.5125669,107.50458363948876,4725401.732480571,9 5 4,pass
88,11,16957617.98137897,473482458.5125669,107.50458363948876,4725401.732480571,9 5 3,pass
89,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,9 7 10,fail
90,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 7 9,fail
91,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 7 8,fail
92,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,9 7 7,fail
93,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 7 6,fail
94,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,9 7 5,fail
95,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 7 4,fail
96,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,9 7 3,fail
97,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,9 9 10,fail
98,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 9 9,fail
99,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 9 8,fail
100,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,9 9 7,fail
101,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 9 6,fail
102,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,9 9 5,fail
103,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 9 4,fail
104,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,9 9 3,fail
105,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,9 11 10,fail
106,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 11 9,fail
107,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 11 8,fail
108,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,9 11 7,fail
109,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 11 6,fail
110,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,9 11 5,fail
111,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 11 4,fail
112,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,9 11 3,fail
113,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,9 13 10,fail
114,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 13 9,fail
115,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 13 8,fail
116,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,9 13 7,fail
117,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 13 6,fail
118,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,9 13 5,fail
119,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,9 13 4,fail
120,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,9 13 3,fail
121,12,14184555.774595546,566322156.2601291,131.83860073966628,4874963.036074808,11 5 10,pass
122,12,14330782.97459555,566322156.2601291,131.83860073966628,4874963.036074808,11 5 9,pass
123,12,14513566.97459555,566322156.2601291,131.83860073966628,4874963.036074808,11 5 8,pass
124,12,14748574.974595556,566322156.2601291,131.83860073966628,4874963.036074808,11 5 7,pass
125,12,15061918.97459555,566322156.2601291,131.83860073966628,4874963.036074808,11 5 6,pass
126,12,15500600.57459556,566322156.2601291,131.83860073966628,4874963.036074808,11 5 5,pass
127,12,16158622.97459555,566322156.2601291,131.83860073966628,4874963.036074808,11 5 4,pass
128,12,17255326.97459555,566322156.2601291,131.83860073966628,4874963.036074808,11 5 3,pass
129,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,11 7 10,fail
130,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 7 9,fail
131,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 7 8,fail
132,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,11 7 7,fail
133,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 7 6,fail
134,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,11 7 5,fail
135,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 7 4,fail
136,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,11 7 3,fail
137,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,11 9 10,fail
138,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 9 9,fail
139,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 9 8,fail
140,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,11 9 7,fail
141,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 9 6,fail
142,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,11 9 5,fail
143,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 9 4,fail
144,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,11 9 3,fail
145,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,11 11 10,fail
146,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 11 9,fail
147,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 11 8,fail
148,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,11 11 7,fail
149,14,15176732.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 11 6,fail
150,14,15627701.669215657,668445823.7824475,157.01022636165797,5024686.966886007,11 11 5,fail
151,14,16304156.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 11 4,fail
152,14,17431580.069215644,668445823.7824475,157.01022636165797,5024686.966886007,11 11 3,fail
153,14,14274792.86921564,668445823.7824475,157.01022636165797,5024686.966886007,11 13 10,fail
154,14,14425116.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 13 9,fail
155,14,14613020.069215646,668445823.7824475,157.01022636165797,5024686.966886007,11 13 8,fail
156,14,14854610.92635851,668445823.7824475,157.01022636165797,5024686.966886007,11 13 7,fail
