DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
107,1024 44,13 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
108,1024 48,13 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
109,1024 16,14 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
110,1024 20,14 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
111,1024 24,14 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
112,1024 28,14 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
113,1024 32,14 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
114,1024 36,14 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
115,1024 40,14 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
116,1024 44,14 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
117,1024 48,14 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
118,1024 16,15 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
119,1024 20,15 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
120,1024 24,15 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
121,1024 28,15 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
122,1024 32,15 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
123,1024 36,15 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
124,1024 40,15 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
125,1024 44,15 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
126,1024 48,15 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
127,1024 16,16 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
128,1024 20,16 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
129,1024 24,16 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
130,1024 28,16 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
131,1024 32,16 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
132,1024 36,16 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
133,1024 40,16 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
134,1024 44,16 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
135,1024 48,16 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
136,1024 16,17 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
137,1024 20,17 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
138,1024 24,17 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
139,1024 28,17 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
140,1024 32,17 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
141,1024 36,17 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
142,1024 40,17 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
143,1024 44,17 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
144,1024 48,17 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
145,1024 16,18 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
146,1024 20,18 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
147,1024 24,18 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
148,1024 28,18 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
149,1024 32,18 32,0,53,0.0,8.988304042303238e+16,51381200000000.0,fail
150,1024 36,18 28,0,53,0.0,9.03210962965305e+16,57803700000000.0,fail
151,1024 40,18 24,0,53,0.0,9.090517079452786e+16,64226300000000.0,fail
152,1024 44,18 20,0,53,0.0,9.172287509172422e+16,70648900000000.0,fail
153,1024 48,18 16,0,53,0.0,9.294943153751878e+16,77071500000000.0,fail
154,1024 16,19 48,0,53,0.0,8.886091005153691e+16,25690900000000.0,fail
155,1024 20,19 44,0,53,0.0,8.90467519372634e+16,32113400000000.0,fail
156,1024 24,19 40,0,53,0.0,8.92697622001351e+16,38536000000000.0,fail
157,1024 28,19 36,0,53,0.0,8.954233029920056e+16,44958600000000.0,fail
