DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,RRAM area,restraint
36,1024 48,7 16,8,0,6487271140350.001,0.0,77071500000000.0,0.0,pass
37,1024 16,8 48,8,0,6487271140350.001,0.0,25690900000000.0,0.0,pass
38,1024 20,8 44,8,0,6487271140350.001,0.0,32113400000000.0,0.0,pass
39,1024 24,8 40,8,0,6487271140350.001,0.0,38536000000000.0,0.0,pass
40,1024 28,8 36,8,0,6487271140350.001,0.0,44958600000000.0,0.0,pass
41,1024 32,8 32,8,0,6487271140350.001,0.0,51381200000000.0,0.0,pass
42,1024 36,8 28,8,0,6487271140350.001,0.0,57803700000000.0,0.0,pass
43,1024 40,8 24,8,0,6487271140350.001,0.0,64226300000000.0,0.0,pass
44,1024 44,8 20,8,0,6487271140350.001,0.0,70648900000000.0,0.0,pass
45,1024 48,8 16,8,0,6487271140350.001,0.0,77071500000000.0,0.0,pass
46,1024 16,9 48,5,3,841370716775.9999,73547032939229.47,25690900000000.0,1269999989.6867397,pass
47,1024 20,9 44,5,3,841370716775.9999,73577225288518.47,32113400000000.0,1269999989.6867397,pass
48,1024 24,9 40,5,3,841370716775.9999,73613456107665.23,38536000000000.0,1269999989.6867397,pass
49,1024 28,9 36,5,3,841370716775.9999,73657738219955.73,44958600000000.0,1269999989.6867397,pass
50,1024 32,9 32,5,3,841370716775.9999,73713090860318.86,51381200000000.0,1269999989.6867397,pass
51,1024 36,9 28,5,3,841370716775.9999,73784258540785.75,57803700000000.0,1269999989.6867397,pass
52,1024 40,9 24,5,3,841370716775.9999,73879148781408.25,64226300000000.0,1269999989.6867397,pass
53,1024 44,9 20,5,3,841370716775.9999,74011995118279.77,70648900000000.0,1269999989.6867397,pass
54,1024 48,9 16,5,3,841370716775.9999,74211264623587.03,77071500000000.0,1269999989.6867397,pass
55,1024 16,10 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
56,1024 20,10 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
57,1024 24,10 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
58,1024 28,10 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
59,1024 32,10 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
60,1024 36,10 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
61,1024 40,10 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
62,1024 44,10 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
63,1024 48,10 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
64,1024 16,11 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
65,1024 20,11 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
66,1024 24,11 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
67,1024 28,11 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
68,1024 32,11 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
69,1024 36,11 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
70,1024 40,11 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
71,1024 44,11 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
72,1024 48,11 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
73,1024 16,12 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
74,1024 20,12 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
75,1024 24,12 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
76,1024 28,12 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
77,1024 32,12 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
78,1024 36,12 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
79,1024 40,12 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
80,1024 44,12 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
81,1024 48,12 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
82,1024 16,13 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
83,1024 20,13 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
84,1024 24,13 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
85,1024 28,13 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
86,1024 32,13 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
87,1024 36,13 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
88,1024 40,13 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
89,1024 44,13 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
90,1024 48,13 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
91,1024 16,14 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
92,1024 20,14 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
93,1024 24,14 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
94,1024 28,14 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
95,1024 32,14 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
96,1024 36,14 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
97,1024 40,14 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
98,1024 44,14 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
99,1024 48,14 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
100,1024 16,15 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
101,1024 20,15 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
102,1024 24,15 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
103,1024 28,15 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
104,1024 32,15 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
105,1024 36,15 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
106,1024 40,15 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
107,1024 44,15 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
108,1024 48,15 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
109,1024 16,16 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
110,1024 20,16 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
111,1024 24,16 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
112,1024 28,16 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
113,1024 32,16 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
114,1024 36,16 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
115,1024 40,16 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
116,1024 44,16 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
117,1024 48,16 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
118,1024 16,17 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
119,1024 20,17 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
120,1024 24,17 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
121,1024 28,17 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
122,1024 32,17 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
123,1024 36,17 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
124,1024 40,17 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
125,1024 44,17 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
126,1024 48,17 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
127,1024 16,18 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
128,1024 20,18 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
129,1024 24,18 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
130,1024 28,18 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
131,1024 32,18 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
132,1024 36,18 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
133,1024 40,18 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
134,1024 44,18 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
135,1024 48,18 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
136,1024 16,19 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
137,1024 20,19 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
138,1024 24,19 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
139,1024 28,19 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
140,1024 32,19 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
141,1024 36,19 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
142,1024 40,19 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
143,1024 44,19 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
144,1024 48,19 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
145,1024 16,20 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
146,1024 20,20 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
147,1024 24,20 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
148,1024 28,20 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
149,1024 32,20 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
150,1024 36,20 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
151,1024 40,20 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
152,1024 44,20 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
153,1024 48,20 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
154,1024 16,21 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
155,1024 20,21 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
156,1024 24,21 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
157,1024 28,21 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
158,1024 32,21 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
159,1024 36,21 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
160,1024 40,21 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
161,1024 44,21 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
162,1024 48,21 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
163,1024 16,22 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
164,1024 20,22 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
165,1024 24,22 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
166,1024 28,22 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
167,1024 32,22 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
168,1024 36,22 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
169,1024 40,22 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
170,1024 44,22 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
171,1024 48,22 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
172,1024 16,23 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
173,1024 20,23 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
174,1024 24,23 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
175,1024 28,23 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
176,1024 32,23 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
177,1024 36,23 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
178,1024 40,23 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
179,1024 44,23 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
180,1024 48,23 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
181,1024 16,24 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
182,1024 20,24 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
183,1024 24,24 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
184,1024 28,24 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
185,1024 32,24 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
186,1024 36,24 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
187,1024 40,24 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
188,1024 44,24 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
189,1024 48,24 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
190,1024 16,25 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
191,1024 20,25 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
192,1024 24,25 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
193,1024 28,25 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
194,1024 32,25 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
195,1024 36,25 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
196,1024 40,25 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
197,1024 44,25 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
198,1024 48,25 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
199,1024 16,26 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
200,1024 20,26 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
201,1024 24,26 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
202,1024 28,26 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
203,1024 32,26 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
204,1024 36,26 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
205,1024 40,26 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
206,1024 44,26 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
207,1024 48,26 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
208,1024 16,27 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
209,1024 20,27 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
210,1024 24,27 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
211,1024 28,27 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
212,1024 32,27 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
213,1024 36,27 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
214,1024 40,27 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
215,1024 44,27 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
216,1024 48,27 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
217,1024 16,28 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
218,1024 20,28 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
219,1024 24,28 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
220,1024 28,28 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
221,1024 32,28 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
222,1024 36,28 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
223,1024 40,28 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
224,1024 44,28 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
225,1024 48,28 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
226,1024 16,29 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
227,1024 20,29 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
228,1024 24,29 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
229,1024 28,29 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
230,1024 32,29 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
231,1024 36,29 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
232,1024 40,29 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
233,1024 44,29 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
234,1024 48,29 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
235,1024 16,30 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
236,1024 20,30 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
237,1024 24,30 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
238,1024 28,30 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
239,1024 32,30 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
240,1024 36,30 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
241,1024 40,30 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
242,1024 44,30 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
243,1024 48,30 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
244,1024 16,31 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
245,1024 20,31 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
246,1024 24,31 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
247,1024 28,31 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
248,1024 32,31 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
249,1024 36,31 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
250,1024 40,31 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
251,1024 44,31 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
252,1024 48,31 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
253,1024 16,32 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
254,1024 20,32 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
255,1024 24,32 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
256,1024 28,32 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
257,1024 32,32 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
258,1024 36,32 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
259,1024 40,32 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
260,1024 44,32 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
261,1024 48,32 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
262,1024 16,33 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
263,1024 20,33 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
264,1024 24,33 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
265,1024 28,33 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
266,1024 32,33 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
267,1024 36,33 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
268,1024 40,33 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
269,1024 44,33 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
270,1024 48,33 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
271,1024 16,34 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
272,1024 20,34 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
273,1024 24,34 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
274,1024 28,34 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
275,1024 32,34 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
276,1024 36,34 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
277,1024 40,34 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
278,1024 44,34 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
279,1024 48,34 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
280,1024 16,35 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
281,1024 20,35 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
282,1024 24,35 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
283,1024 28,35 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
284,1024 32,35 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
285,1024 36,35 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
286,1024 40,35 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
287,1024 44,35 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
288,1024 48,35 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
289,1024 16,36 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
290,1024 20,36 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
291,1024 24,36 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
292,1024 28,36 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
293,1024 32,36 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
294,1024 36,36 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
295,1024 40,36 24,0,8,0.0,483877717636492.6,64226300000000.0,1738368780.209509,fail
296,1024 44,36 20,0,8,0.0,484691975353587.56,70648900000000.0,1738368780.209509,fail
297,1024 48,36 16,0,8,0.0,485913361929230.3,77071500000000.0,1738368780.209509,fail
298,1024 16,37 48,0,8,0.0,481842073343755.0,25690900000000.0,1738368780.209509,fail
299,1024 20,37 44,0,8,0.0,482027131915821.9,32113400000000.0,1738368780.209509,fail
300,1024 24,37 40,0,8,0.0,482249202202302.4,38536000000000.0,1738368780.209509,fail
301,1024 28,37 36,0,8,0.0,482520621441334.2,44958600000000.0,1738368780.209509,fail
302,1024 32,37 32,0,8,0.0,482859895490123.8,51381200000000.0,1738368780.209509,fail
303,1024 36,37 28,0,8,0.0,483296104981424.6,57803700000000.0,1738368780.209509,fail
