DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,restraint
41,1024 32,10 32,3,16,44982005148.0,302681015245950.6,51381200000000.0,pass
42,1024 36,10 28,3,16,44982005148.0,302769054603098.5,57803700000000.0,pass
43,1024 40,10 24,3,16,44982005148.0,302886440412629.0,64226300000000.0,pass
44,1024 44,10 20,3,16,44982005148.0,303050780545971.6,70648900000000.0,pass
45,1024 48,10 16,3,16,44982005148.0,303297290745985.75,77071500000000.0,pass
46,1024 16,11 48,3,16,44982005148.0,302475590079272.25,25690900000000.0,pass
47,1024 20,11 44,3,16,44982005148.0,302512940109577.3,32113400000000.0,pass
48,1024 24,11 40,3,16,44982005148.0,302557760145943.56,38536000000000.0,pass
49,1024 28,11 36,3,16,44982005148.0,302612540190391.2,44958600000000.0,pass
50,1024 32,11 32,3,16,44982005148.0,302681015245950.6,51381200000000.0,pass
51,1024 36,11 28,3,16,44982005148.0,302769054603098.5,57803700000000.0,pass
52,1024 40,11 24,3,16,44982005148.0,302886440412629.0,64226300000000.0,pass
53,1024 44,11 20,3,16,44982005148.0,303050780545971.6,70648900000000.0,pass
54,1024 48,11 16,3,16,44982005148.0,303297290745985.75,77071500000000.0,pass
55,1024 16,12 48,3,16,44982005148.0,302475590079272.25,25690900000000.0,pass
56,1024 20,12 44,3,16,44982005148.0,302512940109577.3,32113400000000.0,pass
57,1024 24,12 40,3,16,44982005148.0,302557760145943.56,38536000000000.0,pass
58,1024 28,12 36,3,16,44982005148.0,302612540190391.2,44958600000000.0,pass
59,1024 32,12 32,3,16,44982005148.0,302681015245950.6,51381200000000.0,pass
60,1024 36,12 28,3,16,44982005148.0,302769054603098.5,57803700000000.0,pass
61,1024 40,12 24,3,16,44982005148.0,302886440412629.0,64226300000000.0,pass
62,1024 44,12 20,3,16,44982005148.0,303050780545971.6,70648900000000.0,pass
63,1024 48,12 16,3,16,44982005148.0,303297290745985.75,77071500000000.0,pass
64,1024 16,13 48,2,17,15425313563.999998,314763301890421.5,25690900000000.0,pass
65,1024 20,13 44,2,17,15425313563.999998,314844970906683.0,32113400000000.0,pass
66,1024 24,13 40,2,17,15425313563.999998,314942973726196.9,38536000000000.0,pass
67,1024 28,13 36,2,17,15425313563.999998,315062754950047.2,44958600000000.0,pass
68,1024 32,13 32,2,17,15425313563.999998,315212481479860.06,51381200000000.0,pass
69,1024 36,13 28,2,17,15425313563.999998,315404987018190.9,57803700000000.0,pass
70,1024 40,13 24,2,17,15425313563.999998,315661661069298.6,64226300000000.0,pass
71,1024 44,13 20,2,17,15425313563.999998,316021004740849.4,70648900000000.0,pass
72,1024 48,13 16,2,17,15425313563.999998,316560020248175.7,77071500000000.0,pass
73,1024 16,14 48,0,19,0.0,324679559662563.8,25690900000000.0,fail
74,1024 20,14 44,0,19,0.0,324821962024196.2,32113400000000.0,fail
75,1024 24,14 40,0,19,0.0,324992844858155.1,38536000000000.0,fail
